first_name,last_name,player_type,avg_fantasy_points,volatility,salary,seasons_played,total_home_runs,total_strikeouts,key_mlbam
Willie,Mays,HITTER,3.44,3.87,3.44,22,660,0,118495
Mickey,Mantle,HITTER,3.27,3.83,3.27,18,536,0,118258
Hank,Aaron,HITTER,3.51,3.71,3.51,23,755,0,110001
Babe,Ruth,HITTER,4.41,4.29,4.41,22,714,0,121578
Ted,Williams,HITTER,4.3,3.87,4.3,19,521,0,124341
Barry,Bonds,HITTER,3.93,4.0,3.93,22,762,0,111188
Ken,Griffey Jr.,HITTER,3.18,3.84,3.18,22,630,0,115135
Ken,Griffey Sr.,HITTER,2.44,2.98,2.44,19,152,0,115136
Alex,Rodriguez,HITTER,3.34,4.1,3.34,22,696,0,121347
Derek,Jeter,HITTER,2.82,3.06,2.82,20,260,0,116539
Mike,Piazza,HITTER,3.04,3.78,3.04,16,427,0,120536
Frank,Thomas,HITTER,3.47,3.69,3.47,19,521,0,123245
Reggie,Jackson,HITTER,2.52,3.73,2.52,21,563,0,116439
Roberto,Clemente,HITTER,2.75,3.22,2.75,18,240,0,112391
Johnny,Bench,HITTER,2.68,3.52,2.68,17,389,0,110849
Chipper,Jones,HITTER,3.3,3.66,3.3,19,468,0,116706
Albert,Pujols,HITTER,3.39,3.78,3.39,22,703,0,405395
Manny,Ramirez,HITTER,3.37,4.02,3.37,19,555,0,120903
Jim,Thome,HITTER,2.82,3.86,2.82,22,612,0,123272
George,Brett,HITTER,3.18,3.28,3.18,21,317,0,111437
Roger,Clemens,PITCHER,14.93,11.61,14.93,24,0,4672,112388
Greg,Maddux,PITCHER,12.65,10.78,12.65,23,0,3371,118120
Pedro,Martinez,PITCHER,14.85,11.67,14.85,18,0,3154,118377
Nolan,Ryan,PITCHER,14.14,12.91,14.14,27,0,5714,121597
Sandy,Koufax,PITCHER,14.04,13.99,14.04,12,0,2396,117277
Tom,Seaver,PITCHER,14.94,11.9,14.94,20,0,3640,121961
Bob,Gibson,PITCHER,14.82,12.17,14.82,17,0,3117,114756
Cy,Young,PITCHER,19.39,9.99,19.39,11,0,1597,124692
Walter,Johnson,PITCHER,16.46,11.72,16.46,21,0,3527,116635
Curt,Schilling,PITCHER,12.19,11.48,12.19,20,0,3116,121811
John,Smoltz,PITCHER,10.7,9.94,10.7,21,0,3084,122477
Roy,Halladay,PITCHER,12.64,11.51,12.64,16,0,2117,136880
David,Cone,PITCHER,12.52,11.55,12.52,17,0,2668,112552
Dwight,Gooden,PITCHER,12.03,11.84,12.03,16,0,2293,114947
Randy,Johnson,PITCHER,15.69,12.67,15.69,22,0,4875,116615
